iter	RMSE
0	2.074893312
1	2.044969945
2	2.012892568
3	1.982755045
4	1.953399821
5	1.922591536
6	1.890773059
7	1.863369765
8	1.838596323
9	1.809245507
10	1.778597415
11	1.750012376
12	1.725741825
13	1.701920761
14	1.676900878
15	1.651629314
16	1.628578345
17	1.606349119
18	1.578969396
19	1.556437806
20	1.532133545
21	1.516710758
22	1.49708026
23	1.478027038
24	1.457931198
25	1.438939509
26	1.419992141
27	1.399577833
28	1.384968197
29	1.362180874
30	1.342550193
31	1.324188151
32	1.304737722
33	1.286941882
34	1.269777634
35	1.253722475
36	1.239564685
37	1.222226551
38	1.20120199
39	1.183777709
40	1.165795086
41	1.151590192
42	1.137707723
43	1.121929778
44	1.107264439
45	1.091966126
46	1.077424352
47	1.060933476
48	1.046705795
49	1.033986554
50	1.021392783
51	1.007024477
52	0.9925712888
53	0.9760493953
54	0.961495775
55	0.9481040114
56	0.9359780943
57	0.9263208416
58	0.9110307403
59	0.8974361156
60	0.8857863856
61	0.8765288907
62	0.8665070613
63	0.8560212114
64	0.8458548785
65	0.8360906806
66	0.8236153062
67	0.815179719
68	0.8042089759
69	0.7958499099
70	0.7864832935
71	0.775022372
72	0.7640138709
73	0.7563922468
74	0.744431265
75	0.73361661
76	0.7245205813
77	0.715992661
78	0.7086892102
79	0.702130376
80	0.6942655004
81	0.6857988746
82	0.6779760593
83	0.670033127
84	0.6628163278
85	0.6530324943
86	0.6468529898
87	0.6396039408
88	0.6322177085
89	0.6246648449
90	0.616803789
91	0.6096878764
92	0.6038982562
93	0.5970436636
94	0.5917875081
95	0.5863246696
96	0.5805059707
97	0.573816585
98	0.5671264942
99	0.5595849671
100	0.5532154039
101	0.5483854228
102	0.5424118667
103	0.536699078
104	0.5310537207
105	0.5258945916
106	0.5213144546
107	0.5164729327
108	0.5114221474
109	0.506832452
110	0.5013498874
111	0.4960621331
112	0.4909668515
113	0.486392042
114	0.4818632364
115	0.4766626422
116	0.4711615405
117	0.46695175
118	0.4623883735
119	0.4582410507
120	0.4544946865
121	0.4500915237
122	0.4459265766
123	0.441600388
124	0.4377697432
125	0.4338274969
126	0.4302673987
127	0.4258964425
128	0.4230151149
129	0.4194275281
130	0.4164636779
131	0.4129562365
132	0.4089349046
133	0.4062390966
134	0.4029974274
135	0.3999427725
136	0.3968215013
137	0.3935426227
138	0.3903052231
139	0.3873034921
140	0.3844966446
141	0.3820509841
142	0.3788039497
143	0.3758451774
144	0.3730577657
145	0.370381598
146	0.367942264
147	0.3653724742
148	0.362775063
149	0.3599305461
150	0.3571881097
151	0.3545620319
152	0.352194699
153	0.3493014023
154	0.3474434438
155	0.3456888727
156	0.3432931044
157	0.3409226826
158	0.3386009289
159	0.3362532021
160	0.3342041596
161	0.3318385809
162	0.329343268
163	0.3268819753
164	0.3246686091
165	0.3226635684
166	0.3197956205
167	0.3178688679
168	0.3159686764
169	0.3139953246
170	0.3116224078
171	0.3095898577
172	0.3076015919
173	0.3052563799
174	0.3032338273
175	0.3010176916
176	0.2991423217
177	0.2975393373
178	0.2959193867
179	0.2942427811
180	0.2922974618
181	0.2906049118
182	0.2891197282
183	0.2880889792
184	0.2866282212
185	0.2847982396
186	0.2832523053
187	0.2820542004
188	0.2802697234
189	0.2791274423
190	0.2776336785
191	0.2766955305
192	0.2749411826
193	0.2729015197
194	0.2710286623
195	0.2693367997
196	0.2679108996
197	0.2669300344
198	0.2653868863
199	0.2641063695
200	0.2619168227
201	0.2604778863
202	0.2592119809
203	0.258344858
204	0.2569263995
205	0.2553157993
206	0.2538113133
207	0.2526222907
208	0.2515033259
209	0.2500690802
210	0.2492192118
211	0.2479225999
212	0.2466103687
213	0.2456087636
214	0.2441378308
215	0.2430897708
216	0.2417698303
217	0.240697134
218	0.23948672
219	0.2383042931
220	0.237393838
221	0.2357885624
222	0.234186433
223	0.2332887638
224	0.2320410706
225	0.2304592039
226	0.2290417615
227	0.2283671226
228	0.2279669597
229	0.2268189966
230	0.2256382417
231	0.2248210992
232	0.2236605465
233	0.2225890236
234	0.2214588658
235	0.220392102
236	0.2193061623
237	0.2184569583
238	0.2171516685
239	0.216674846
240	0.2161063277
241	0.2154359873
242	0.2144008924
243	0.2138057403
244	0.2131447018
245	0.2125585224
246	0.2114851779
247	0.2107640497
248	0.2100320206
249	0.2093098518
250	0.2088377024
251	0.2079023318
252	0.2070743294
253	0.2060235186
254	0.2054710596
255	0.2049699926
256	0.2044885927
257	0.2031867097
258	0.202197227
259	0.2015178249
260	0.2008138205
261	0.1998322077
262	0.1994281615
263	0.1989621438
264	0.1982886004
265	0.1977946804
266	0.1973068151
267	0.1963991804
268	0.1957488123
269	0.1951304806
270	0.1946053984
271	0.1939983404
272	0.193481714
273	0.192885535
274	0.1922975006
275	0.1912703719
276	0.1907713781
277	0.1901981125
278	0.1896003688
279	0.1890111748
280	0.1885825826
281	0.1877631676
282	0.1871902695
283	0.1867868407
284	0.1862530706
285	0.1852687045
286	0.1846555491
287	0.1841087286
288	0.1835697648
289	0.1829629156
290	0.1824593148
291	0.181910863
292	0.1814193883
293	0.180972365
294	0.18046818
295	0.1799712682
296	0.1795404944
297	0.179055319
298	0.1782528693
299	0.1777473531
300	0.1772989308
301	0.1770598419
302	0.1767368014
303	0.1764175901
304	0.1755340249
305	0.1751618807
306	0.1748513805
307	0.1744077572
308	0.1739999763
309	0.173149083
310	0.1727349843
311	0.1723086897
312	0.1718886214
313	0.1716074969
314	0.1706305383
315	0.1702217098
316	0.1696345985
317	0.1692348336
318	0.1686609956
319	0.1680971308
320	0.1671593787
321	0.1667737845
322	0.1663937926
323	0.165806053
324	0.1652260051
325	0.1649293429
326	0.1640346277
327	0.1637448963
328	0.1633853008
329	0.1630309057
330	0.1628503249
331	0.1623006595
332	0.1617492336
333	0.1615796679
334	0.1611266365
335	0.1608922837
336	0.1607230469
337	0.1602822487
338	0.1600933189
339	0.1599300304
340	0.1597688765
341	0.1591636207
342	0.1587457946
343	0.1583357641
344	0.1581829244
345	0.1580320911
346	0.1576335228
347	0.1572423589
348	0.1570972518
349	0.1569540531
350	0.1568127371
351	0.1566732787
352	0.1565393291
353	0.1560528289
354	0.1559188958
355	0.1553893231
356	0.1549219643
357	0.1544142637
358	0.1542753367
359	0.1541503828
360	0.1536135861
361	0.1534945745
362	0.1533770943
363	0.1529378417
364	0.152467658
365	0.1523396981
366	0.1522135967
367	0.151419884
368	0.1513179322
369	0.150537412
370	0.1504371944
371	0.1499391535
372	0.1498190986
373	0.1497230381
374	0.1492392982
375	0.1491458211
376	0.1486763558
377	0.1485850232
378	0.1478230556
379	0.1477332955
380	0.1476446587
381	0.1469928378
382	0.146905682
383	0.1463787471
384	0.1462880606
385	0.1462040728
386	0.1457557849
387	0.1452919698
388	0.1448568835
389	0.1444319633
390	0.1439369848
391	0.1435259414
392	0.1430442547
393	0.1426684694
394	0.1423002092
395	0.1419685597
396	0.1415125104
397	0.1411033487
398	0.1407820261
399	0.1404665615
400	0.1399331439
401	0.1395075588
402	0.1391270052
403	0.1388379898
404	0.1385531449
405	0.1384850747
406	0.1381856916
407	0.137823707
408	0.1375472556
409	0.1374816825
410	0.1372097229
411	0.1371454632
412	0.1368588994
413	0.1363483139
414	0.1359728165
415	0.1356383823
416	0.1353785427
417	0.1353176454
418	0.1350620439
419	0.1347899731
420	0.1342902067
421	0.1342313392
422	0.1341732175
423	0.1337233653
424	0.1332803033
425	0.1328447417
426	0.1324138295
427	0.1317519953
428	0.1312741246
429	0.1308069934
430	0.1305052801
431	0.1300486373
432	0.1297797812
433	0.1294899106
434	0.129079282
435	0.1286729666
436	0.128196495
437	0.1277556151
438	0.1276977643
439	0.1274969986
440	0.1272364576
441	0.1269331954
442	0.1265024089
443	0.1263750237
444	0.1260783967
445	0.1259553285
446	0.1256654427
447	0.1255453939
448	0.1254921317
449	0.1252302544
450	0.1249462971
451	0.1248311199
452	0.1247192377
453	0.1241438541
454	0.1239180899
455	0.1238674568
456	0.123302921
457	0.1231875606
458	0.1226334793
459	0.1225835348
460	0.122312112
461	0.1222611421
462	0.1220414719
463	0.121775631
464	0.1215154563
465	0.1213479115
466	0.1210931703
467	0.1209307313
468	0.1203697207
469	0.1201365784
470	0.1195869439
471	0.1193617591
472	0.1188580212
473	0.1188107151
474	0.1184654321
475	0.1184188744
476	0.1178519431
477	0.117561356
478	0.1171953032
479	0.1169572658
480	0.1167242142
481	0.1164960135
482	0.1164504984
483	0.1164055865
484	0.1159257255
485	0.1158814403
486	0.1154091758
487	0.1153655072
488	0.1153224165
489	0.1148508964
490	0.1148083559
491	0.114343423
492	0.1143014232
493	0.1138647026
494	0.1138231658
495	0.113393878
496	0.1133527973
497	0.112901437
498	0.112577457
499	0.1120762198
500	0.112036015
501	0.1119963365
502	0.1116821012
503	0.1113733277
504	0.111334591
505	0.1109291268
506	0.1108908001
507	0.1105899954
508	0.1105523564
509	0.1102569265
510	0.1101304645
511	0.1097367714
512	0.1097000429
513	0.1092591367
514	0.1087262814
515	0.1086897286
516	0.1084210842
517	0.1079399986
518	0.1074245365
519	0.1069575291
520	0.1064571556
521	0.1064203929
522	0.1059668816
523	0.1057214151
524	0.1052368416
525	0.1052001496
526	0.1049579673
527	0.1045204134
528	0.1042847104
529	0.1040535107
530	0.1040168931
531	0.1035525614
532	0.1032486962
533	0.1028276053
534	0.1024014295
535	0.1019913008
536	0.1017737145
537	0.1015602577
538	0.1012214172
539	0.1008895163
540	0.1005644107
541	0.1002459591
542	0.09993402263
543	0.09989694456
544	0.09960816334
545	0.09957144411
546	0.09935479493
547	0.09914190101
548	0.09893269026
549	0.09865386272
550	0.09861654523
551	0.09841222928
552	0.09821144219
553	0.09817395551
554	0.09797630798
555	0.09778206202
556	0.09754000765
557	0.09750226228
558	0.09715099515
559	0.09711334676
560	0.09684776932
561	0.09681046241
562	0.09662447224
563	0.09639083773
564	0.09635360245
565	0.09596657835
566	0.09558570603
567	0.09521088852
568	0.09484203033
569	0.0944790374
570	0.09416540057
571	0.09394571295
572	0.09368593642
573	0.09342971688
574	0.09312183697
575	0.09286951667
576	0.09262065461
577	0.09237520042
578	0.09213310458
579	0.09209893787
580	0.09186008549
581	0.09162449552
582	0.09159063355
583	0.09123153514
584	0.09090024494
585	0.09086654006
586	0.09083326576
587	0.09050708599
588	0.09047408118
589	0.09044149789
590	0.0901203511
591	0.09008803014
592	0.09005612189
593	0.08973993179
594	0.08970827897
595	0.08939712091
596	0.0893657214
597	0.08933472267
598	0.08902836848
599	0.08899761651
600	0.08867305042
601	0.08864265491
602	0.08834596747
603	0.08831581467
604	0.08800293492
605	0.08797313237
606	0.08777533205
607	0.0874706118
608	0.08717241147
609	0.08714272571
610	0.08685087902
611	0.08656528632
612	0.08653591594
613	0.08628353927
614	0.08606308792
615	0.08584624474
616	0.08563294682
617	0.08540886285
618	0.08520030512
619	0.08517111343
620	0.08496589264
621	0.08474815093
622	0.08471926466
623	0.08451852408
624	0.08430575211
625	0.08410945027
626	0.08408080082
627	0.08379443502
628	0.08376603448
629	0.08354760743
630	0.08332229382
631	0.08329394957
632	0.08310343956
633	0.08289310424
634	0.08265712066
635	0.08241309941
636	0.08217214265
637	0.08194319243
638	0.08170688324
639	0.08147353657
640	0.08124311096
641	0.08098416474
642	0.08075629578
643	0.08053126966
644	0.08027575325
645	0.08005633913
646	0.07983513152
647	0.07961667896
648	0.07958826985
649	0.07940017761
