iter	Passed	Remaining
0	160	160697
1	172	86145
2	181	60207
3	186	46422
4	197	39300
5	206	34170
6	210	29911
7	223	27716
8	233	25700
9	242	24015
10	251	22624
11	259	21375
12	271	20604
13	279	19661
14	285	18770
15	291	17920
16	297	17207
17	303	16569
18	309	16005
19	315	15460
20	321	14987
21	327	14554
22	333	14171
23	340	13851
24	346	13525
25	352	13222
26	358	12932
27	365	12676
28	372	12469
29	379	12262
30	386	12088
31	393	11916
32	397	11657
33	403	11459
34	406	11219
35	413	11060
36	419	10905
37	441	11165
38	447	11019
39	452	10862
40	457	10709
41	464	10594
42	470	10474
43	476	10344
44	482	10246
45	488	10125
46	493	10008
47	497	9859
48	501	9740
49	507	9642
50	513	9552
51	519	9466
52	525	9385
53	529	9276
54	535	9195
55	541	9126
56	548	9074
57	553	8997
58	560	8946
59	567	8890
60	572	8812
61	577	8744
62	586	8717
63	593	8678
64	601	8648
65	609	8619
66	618	8618
67	625	8571
68	631	8515
69	638	8485
70	644	8437
71	652	8410
72	659	8375
73	665	8324
74	668	8240
75	673	8191
76	679	8147
77	685	8101
78	691	8067
79	699	8043
80	706	8020
81	713	7985
82	721	7968
83	727	7932
84	733	7900
85	741	7878
86	747	7844
87	756	7843
88	764	7823
89	770	7792
90	777	7769
91	784	7745
92	792	7727
93	797	7683
94	804	7662
95	811	7646
96	833	7758
97	836	7698
98	843	7673
99	850	7655
100	857	7631
101	862	7597
102	867	7556
103	872	7519
104	877	7478
105	882	7439
106	887	7402
107	891	7366
108	896	7329
109	902	7299
110	907	7271
111	914	7248
112	918	7213
113	923	7180
114	928	7145
115	930	7091
116	932	7041
117	937	7009
118	942	6976
119	946	6944
120	951	6912
121	956	6882
122	960	6851
123	965	6822
124	970	6795
125	975	6764
126	977	6717
127	981	6687
128	997	6736
129	1003	6712
130	1007	6685
131	1017	6693
132	1024	6675
133	1030	6656
134	1036	6642
135	1042	6622
136	1048	6602
137	1054	6587
138	1060	6567
139	1066	6549
140	1072	6535
141	1078	6517
142	1085	6503
143	1091	6485
144	1096	6467
145	1103	6455
